"(9, 9)",6.22,0.17,0.3,0.07,0.31,0.03,0.02,191488,51380224
"(8, 8)",6.22,0.17,0.3,0.07,0.31,0.04,0.02,99926,25690112
"(0, 7)",6.22,0.17000000000000004,0.79,0.045,0.5,0.42375,0.0125,3528,338688
"(0, 0)",6.22,0.17,0.79,0.01,0.47,0.77,0.05,112896,10838016
"(1, 1)",6.22,0.17,0.31,0.05,0.4,0.7,0.05,201046,25690112
"(2, 2)",6.22,0.17,0.3,0.04,0.4,0.35,0.02,101718,25690112
"(3, 3)",6.22,0.17,0.29,0.02,0.48999999999999994,0.21999999999999997,0.02,136534,51380224
"(4, 4)",6.22,0.19,0.3,0.19,0.35,0.17,0.01,55638,25690112
"(5, 5)",6.22,0.19,0.3,0.19,0.35,0.10999999999999999,0.01,77824,51380224
"(6, 6)",6.22,0.18,0.32,0.1,0.35,0.14,0.01,46934,25690112
"(7, 7)",6.22,0.21,0.29,0.33,0.33,0.06,0.01,77142,51380224
"(8, 8)",6.22,0.17,0.3,0.07,0.31,0.04,0.02,99926,25690112
"(9, 9)",6.22,0.17,0.3,0.07,0.31,0.03,0.02,191488,51380224
